Fuel Type Code,City,State,Longitude,Latitude,Region
ELEC,East Highland Park,VA,-77.394887,37.58088,Southeast
ELEC,East Highland Park,VA,-77.394951,37.580871,Southeast
ELEC,East Highland Park,VA,-77.394929,37.580845,Southeast
ELEC,Winchester,MA,-71.160512,42.458523,Northeast
ELEC,Winchester,MA,-71.160485,42.458427,Northeast
ELEC,Winchester,MA,-71.160581,42.458498,Northeast
ELEC,PLAINFIELD,IL,-88.182869,41.58929,Midwest
ELEC,Blair,NE,-96.144994,41.523046,Midwest
ELEC,Fremont,NE,-96.466662,41.452399,Midwest
ELEC,Oak Lawn,IL,-87.741604,41.720798,Midwest
ELEC,Atlanta,GA,-84.38468813896179,33.83207362600475,Southeast
ELEC,Seattle,WA,-122.3529158,47.651792,West
ELEC,Fort Worth,TX,-97.36468,32.742435,Southwest
ELEC,Miami,FL,-80.2078,25.755314,Southeast
ELEC,Walnut Creek,CA,-122.087921,37.923784,West
ELEC,Wheat Ridge,CO,-105.13211,39.78918,West
ELEC,Wheat Ridge,CO,-105.132126,39.78924,West
ELEC,Wheat Ridge,CO,-105.132126,39.78923,West
E85,BURBANK,CA,-118.3074895,34.16687332,West
E85,San Bernardino,CA,-117.3075,34.1359,West
E85,San Bernardino,CA,-117.27292,34.13641,West
E85,Enid,OK,-97.89017,36.36163,Southwest
E85,Long Beach,CA,-118.21295,33.80416,West
E85,INGLEWOOD,CA,-118.3566416,33.93069377,West
E85,Fort Smith,AR,-94.3430730330658,35.32470456926725,Southeast
RD,Vacaville,CA,-121.89631,38.41796,West
RD,Kyburz,CA,-120.31513,38.76808,West
RD,Garden Grove,CA,-117.97201,33.75969,West
ELEC,Phoenix,AZ,-112.0750629,33.4598174,Southwest
ELEC,Cape May Court House,NJ,-74.7742468771178,39.12768915997972,Northeast
ELEC,SAN ANTONIO,TX,-98.6748998,29.4525757,Southwest
ELEC,Aurora,CO,-104.84145643357616,39.74202911664952,West
